ensembl_gene_id,chromosome_name,start_position,end_position,strand,gene_name,chr_name
ENSG00000013288,4,6575189,6623362,1,MAN2B2,chr4
ENSG00000013441,2,200853009,200864691,-1,CLK1,chr2
ENSG00000013561,5,141958328,141990292,1,RNF14,chr5
ENSG00000013810,4,1712858,1745171,1,TACC3,chr4
ENSG00000014257,3,132317369,132368298,1,ACPP,chr3
ENSG00000014641,2,63588609,63607197,1,MDH1,chr2
ENSG00000014824,4,41990502,42090461,1,SLC30A9,chr4
ENSG00000014914,1,149928651,149936879,-1,MTMR11,chr1
ENSG00000015479,5,139293674,139331677,1,MATR3-1,chr5
ENSG00000015568,2,109792758,109857705,1,RGPD5,chr2
ENSG00000016864,3,52694486,52706032,-1,GLT8D1,chr3
ENSG00000017260,3,130850595,131016712,1,ATP2C1,chr3
ENSG00000018189,4,70704204,70808619,1,RUFY3,chr4
ENSG00000018280,2,218382029,218396894,1,SLC11A1,chr2
ENSG00000018408,3,149517235,149736714,-1,WWTR1,chr3
ENSG00000018510,2,177392746,177567024,1,AGPS,chr2
ENSG00000018699,2,32628032,32821051,1,TTC27,chr2
ENSG00000019582,5,150401637,150412969,-1,CD74,chr5
ENSG00000020129,1,35557473,35567274,1,NCDN,chr1
ENSG00000020633,1,24899511,24965121,-1,RUNX3,chr1
ENSG00000021355,6,2832332,2841959,-1,SERPINB1,chr6
ENSG00000021574,2,32063556,32157637,1,SPAST,chr2
ENSG00000021826,2,210477682,210679107,1,CPS1,chr2
ENSG00000023228,2,206114817,206159509,-1,NDUFS1,chr2
ENSG00000023330,3,52198086,52214327,1,ALAS1,chr3
ENSG00000023572,1,193090866,193106114,-1,GLRX2,chr1
ENSG00000023902,1,150149183,150164720,1,PLEKHO1,chr1
ENSG00000023909,1,93885199,93909456,-1,GCLM,chr1
ENSG00000024526,1,68474152,68497221,-1,DEPDC1,chr1
ENSG00000025800,1,32108056,32176563,1,KPNA6,chr1
ENSG00000026751,1,160739057,160754821,1,SLAMF7,chr1
ENSG00000026950,6,26402237,26415208,1,BTN3A1,chr6
ENSG00000027847,5,177600132,177610330,1,B4GALT7,chr5
ENSG00000027869,1,156806243,156816848,-1,SH2D2A,chr1
ENSG00000028116,2,57907629,58159920,1,VRK2,chr2
ENSG00000028137,1,12166991,12209228,1,TNFRSF1B,chr1
ENSG00000028310,5,850291,892801,-1,BRD9,chr5
ENSG00000030110,6,33572547,33580293,-1,BAK1,chr6
ENSG00000030419,2,212999691,213152427,-1,IKZF2,chr2
ENSG00000031003,5,137937960,138051961,-1,FAM13B,chr5
ENSG00000031081,3,119294383,119420714,1,ARHGAP31,chr3
ENSG00000031698,1,109213918,109238182,1,SARS,chr1
ENSG00000032389,2,3188925,3377830,-1,EIPR1,chr2
ENSG00000033122,1,69567922,70151945,1,LRRC7,chr1
ENSG00000033178,4,67612652,67701155,-1,UBA6,chr4
ENSG00000033867,3,27372721,27484420,-1,SLC4A7,chr3
ENSG00000034510,2,84905656,84906671,1,TMSB10,chr2
ENSG00000034533,3,131013875,131027649,-1,ASTE1,chr3
ENSG00000035115,2,217730,266398,-1,SH3YL1,chr2
ENSG00000035141,2,70295975,70302090,-1,FAM136A,chr2
ENSG00000035499,5,60596912,60700190,-1,DEPDC1B,chr5
ENSG00000035687,1,244408494,244451909,-1,ADSS,chr1
ENSG00000035720,4,67558727,67607337,1,STAP1,chr4
ENSG00000035928,4,39287456,39366375,-1,RFC1,chr4
ENSG00000036054,3,100260992,100325251,1,TBC1D23,chr3
ENSG00000036257,2,224470150,224585397,-1,CUL3,chr2
ENSG00000036549,1,77562416,77683419,-1,AC118549.1,chr1
ENSG00000037241,5,172958729,172969771,1,RPL26L1,chr5
ENSG00000037474,5,6599239,6633291,-1,NSUN2,chr5
ENSG00000037637,1,16246840,16352480,-1,FBXO42,chr1
ENSG00000037749,5,154038959,154220478,1,MFAP3,chr5
ENSG00000038002,4,177430774,177442437,-1,AGA,chr4
ENSG00000038210,4,25160663,25279204,1,PI4K2B,chr4
ENSG00000038219,4,13568738,13627725,-1,BOD1L1,chr4
ENSG00000038274,5,163503114,163519558,1,MAT2B,chr5
ENSG00000038382,5,14143342,14532128,1,TRIO,chr5
ENSG00000038427,5,83471618,83582303,1,VCAN,chr5
ENSG00000039123,5,55307989,55425579,1,MTREX,chr5
ENSG00000039319,5,80408013,80483379,1,ZFYVE16,chr5
ENSG00000039560,5,34656328,34832612,1,RAI14,chr5
ENSG00000040275,5,169583636,169604778,1,SPDL1,chr5
ENSG00000040487,1,19312326,19329300,1,SLC66A1,chr1
ENSG00000040933,2,98444854,98594392,1,INPP4A,chr2
ENSG00000041802,3,194640791,194672463,-1,LSG1,chr3
ENSG00000041988,1,6624868,6635586,1,THAP3,chr1
ENSG00000042445,2,85341955,85354531,-1,RETSAT,chr2
ENSG00000042493,2,85394753,85418432,-1,CAPG,chr2
ENSG00000043093,3,182938074,182985953,-1,DCUN1D1,chr3
ENSG00000043143,5,134524312,134583230,1,JADE2,chr5
ENSG00000043462,5,170246233,170297815,-1,LCP2,chr5
ENSG00000043514,1,39838110,39883511,-1,TRIT1,chr1
ENSG00000044115,5,138610967,138935034,1,CTNNA1,chr5
ENSG00000047188,5,113513694,113595285,1,YTHDC2,chr5
ENSG00000047315,4,56977722,57031158,1,POLR2B,chr4
ENSG00000047365,4,35948221,36244514,-1,ARAP2,chr4
ENSG00000047410,1,186311652,186375693,-1,TPR,chr1
ENSG00000047579,6,15522807,15663058,-1,DTNBP1,chr6
ENSG00000047662,4,17629306,17781621,-1,FAM184B,chr4
ENSG00000047849,3,47850690,48089272,-1,MAP4,chr3
ENSG00000048140,5,176647387,176659054,1,TSPAN17,chr5
ENSG00000048162,5,176383946,176388927,-1,NOP16,chr5
ENSG00000048342,4,15469865,15601552,1,CC2D2A,chr4
ENSG00000048707,1,12230030,12512047,1,VPS13D,chr1
ENSG00000048991,2,135531455,135725270,1,R3HDM1,chr2
ENSG00000049089,1,40300489,40317813,-1,COL9A2,chr1
ENSG00000049167,5,60866454,60945073,-1,ERCC8,chr5
ENSG00000049192,5,65148738,65481920,-1,ADAMTS6,chr5
ENSG00000049239,1,9234774,9271337,1,H6PD,chr1
ENSG00000049245,1,7771296,7781432,1,VAMP3,chr1
ENSG00000049246,1,7784291,7845177,1,PER3,chr1
ENSG00000049249,1,7915871,7943165,-1,TNFRSF9,chr1
ENSG00000049323,2,32946953,33399509,1,LTBP1,chr2
ENSG00000049656,5,1317752,1345099,-1,CLPTM1L,chr5
ENSG00000049860,5,74640023,74722647,1,HEXB,chr5
ENSG00000049883,5,72320367,72368395,1,PTCD2,chr5
ENSG00000050393,6,13786557,13814568,-1,MCUR1,chr6
ENSG00000050730,4,121131408,121227466,-1,TNIP3,chr4
ENSG00000050748,5,180233143,180292099,-1,MAPK9,chr5
ENSG00000050767,5,178237476,178590393,-1,COL23A1,chr5
ENSG00000051341,3,121431431,121545988,-1,POLQ,chr3
ENSG00000051382,3,138652698,138834928,-1,PIK3CB,chr3
ENSG00000051596,5,175917873,176034680,-1,THOC3,chr5
ENSG00000052723,1,114769479,114780685,-1,SIKE1,chr1
ENSG00000052795,4,158769026,158908050,1,FNIP2,chr4
ENSG00000052802,4,165327667,165343164,1,MSMO1,chr4
ENSG00000053371,1,19303965,19312144,-1,AKR7A2,chr1
ENSG00000053372,1,19251805,19260128,1,MRTO4,chr1
ENSG00000053524,3,183178041,183428778,-1,MCF2L2,chr3
ENSG00000053900,4,25377263,25418498,1,ANAPC4,chr4
ENSG00000054116,1,36136570,36156053,-1,TRAPPC3,chr1
ENSG00000054118,1,36224432,36305357,1,THRAP3,chr1
ENSG00000054219,2,159803355,159904756,-1,LY75,chr2
ENSG00000054267,1,235131634,235328219,-1,ARID4B,chr1
ENSG00000054277,1,241590102,241677376,-1,OPN3,chr1
ENSG00000054282,1,243256034,243500091,1,SDCCAG8,chr1
ENSG00000054392,1,210328252,210676296,1,HHAT,chr1
ENSG00000054523,1,10210570,10381603,1,KIF1B,chr1
ENSG00000055044,2,202265736,202303661,1,NOP58,chr2
ENSG00000055070,1,16352575,16398145,1,SZRD1,chr1
ENSG00000055147,5,153990148,154038936,-1,FAM114A2,chr5
ENSG00000055163,5,157266079,157395595,1,CYFIP2,chr5
ENSG00000055332,2,37099210,37157522,-1,EIF2AK2,chr2
ENSG00000055917,2,20248691,20352234,-1,PUM2,chr2
ENSG00000055955,3,52812962,52830688,-1,ITIH4,chr3
ENSG00000056050,4,169729470,169757944,-1,HPF1,chr4
ENSG00000056097,5,32354350,32444740,-1,ZFR,chr5
ENSG00000057019,3,98795941,98901695,-1,DCBLD2,chr3
ENSG00000057252,1,179293714,179358680,1,SOAT1,chr1
ENSG00000057757,1,23778418,23788232,1,PITHD1,chr1
ENSG00000057935,2,42494569,42756947,1,MTA3,chr2
ENSG00000058056,3,179653032,179804366,1,USP13,chr3
ENSG00000058063,3,182793503,182921629,1,ATP11B,chr3
ENSG00000058262,3,128051641,128071683,1,SEC61A1,chr3
ENSG00000058453,1,16740273,16972964,1,CROCC,chr1
ENSG00000058668,1,203626787,203744081,1,ATP2B4,chr1
ENSG00000058673,1,203795623,203854999,1,ZC3H11A,chr1
ENSG00000058729,5,97160867,97183247,-1,RIOK2,chr5
ENSG00000058799,1,53851719,53889798,-1,YIPF1,chr1
ENSG00000058804,1,53765478,53838463,-1,NDC1,chr1
ENSG00000058866,3,186105668,186362234,-1,DGKG,chr3
ENSG00000059588,1,234391313,234479179,-1,TARBP1,chr1
ENSG00000059691,4,151670504,151761007,-1,GATB,chr4
ENSG00000059728,2,69897688,69942945,1,MXD1,chr2
ENSG00000060642,1,26787054,26800659,1,PIGV,chr1
ENSG00000060688,1,31259568,31296788,-1,SNRNP40,chr1
ENSG00000060971,3,38103129,38137242,-1,ACAA1,chr3
ENSG00000061676,2,182909115,183038858,-1,NCKAP1,chr2
ENSG00000061918,4,155758992,155807811,1,GUCY1B1,chr4
ENSG00000061938,3,195863364,195911945,-1,TNK2,chr3
ENSG00000062194,5,57173948,57264679,1,GPBP1,chr5
ENSG00000063978,4,2462220,2625320,1,RNF4,chr4
ENSG00000064012,2,201233443,201361836,1,CASP8,chr2
ENSG00000064042,4,41359607,41700044,1,LIMCH1,chr4
ENSG00000064225,3,98732236,98821201,1,ST3GAL6,chr3
ENSG00000064651,5,128083766,128189677,1,SLC12A2,chr5
ENSG00000064652,5,122843439,123029354,1,SNX24,chr5
ENSG00000064703,1,111754832,111775602,1,DDX20,chr1
ENSG00000064886,1,111200771,111243440,1,CHI3L2,chr1
ENSG00000064933,2,189784085,189877629,1,PMS1,chr2
ENSG00000064989,2,187341964,187448460,-1,CALCRL,chr2
ENSG00000064995,6,34877462,34889192,-1,TAF11,chr6
ENSG00000064999,6,34889255,35091406,1,ANKS1A,chr6
ENSG00000065060,6,34792083,34877514,1,UHRF1BP1,chr6
ENSG00000065135,1,109548615,109600195,1,GNAI3,chr1
ENSG00000065183,1,117929720,117966543,1,WDR3,chr1
ENSG00000065243,1,88684222,88836255,1,PKN2,chr1
ENSG00000065413,2,196967017,197311173,-1,ANKRD44,chr2
ENSG00000065485,3,123067025,123225227,1,PDIA5,chr3
ENSG00000065518,3,120596328,120602507,1,NDUFB4,chr3
ENSG00000065526,1,15836095,15940456,1,SPEN,chr1
ENSG00000065534,3,123610049,123884332,-1,MYLK,chr3
ENSG00000065548,2,186486253,186509361,1,ZC3H15,chr2
ENSG00000065600,1,212363928,212414901,-1,PACC1,chr1
ENSG00000065802,2,238426742,238452250,1,ASB1,chr2
ENSG00000065882,4,37891084,38139175,1,TBC1D1,chr4
ENSG00000065911,2,74186172,74217565,1,MTHFD2,chr2
ENSG00000065978,1,42682418,42703805,1,YBX1,chr1
ENSG00000066027,1,212285410,212361853,1,PPP2R5A,chr1
ENSG00000066135,1,43650149,43705518,1,KDM4A,chr1
ENSG00000066136,1,40691648,40771603,1,NFYC,chr1
ENSG00000066279,1,197084121,197146694,-1,ASPM,chr1
ENSG00000066294,1,160541095,160579516,-1,CD84,chr1
ENSG00000066322,1,43363398,43368074,-1,ELOVL1,chr1
ENSG00000066379,6,30058899,30064909,1,ZNRD1,chr6
ENSG00000066422,3,101648889,101677135,-1,ZBTB11,chr3
ENSG00000066557,1,70144805,70205579,-1,LRRC40,chr1
ENSG00000066583,5,129094749,129114028,1,ISOC1,chr5
ENSG00000067066,2,230415942,230545606,1,SP100,chr2
ENSG00000067113,5,55424854,55534969,-1,PLPP1,chr5
ENSG00000067208,1,92508696,92792404,-1,EVI5,chr1
ENSG00000067248,5,55256055,55307694,-1,DHX29,chr5
ENSG00000067334,1,93866284,93879918,-1,DNTTIP2,chr1
ENSG00000067533,1,218285293,218337983,1,RRP15,chr1
ENSG00000067560,3,49359139,49412998,-1,RHOA,chr3
ENSG00000067606,1,2050411,2185395,1,PRKCZ,chr1
ENSG00000067704,1,220094132,220148041,1,IARS2,chr1
ENSG00000068024,2,239048168,239401654,-1,HDAC4,chr2
ENSG00000068028,3,50329782,50340980,-1,RASSF1,chr3
ENSG00000068654,2,86020216,86106155,-1,POLR1A,chr2
ENSG00000068697,2,20032650,20051628,-1,LAPTM4A,chr2
ENSG00000068724,2,46916157,47076137,1,TTC7A,chr2
ENSG00000068745,3,48688003,48740353,-1,IP6K2,chr3
ENSG00000068784,2,45388680,45612165,-1,SRBD1,chr2
ENSG00000068796,5,62306162,62391025,1,KIF2A,chr5
ENSG00000068878,2,53864069,53970993,-1,PSME4,chr2
ENSG00000068885,3,160256986,160399880,-1,IFT80,chr3
ENSG00000068912,2,53787009,53833038,1,ERLEC1,chr2
ENSG00000069020,5,66596380,67169593,1,MAST4,chr5
ENSG00000069248,1,229440259,229508341,-1,NUP133,chr1
ENSG00000069275,1,205712822,205750182,-1,NUCKS1,chr1
ENSG00000069424,1,5990927,6101193,1,KCNAB2,chr1
ENSG00000069702,1,91680343,91906335,-1,TGFBR3,chr1
ENSG00000069849,3,141876124,141926549,1,ATP1B3,chr3
ENSG00000070190,4,99816827,99870190,1,DAPP1,chr4
ENSG00000070476,3,126437601,126475891,-1,ZXDC,chr3
ENSG00000070614,5,150485818,150558211,1,NDST1,chr5
ENSG00000070759,1,45343883,45491163,-1,TESK2,chr1
ENSG00000070785,1,44850522,44986722,-1,EIF2B3,chr1
ENSG00000070814,5,150357629,150400308,1,TCOF1,chr5
ENSG00000070831,1,22052627,22101360,1,CDC42,chr1
ENSG00000070950,3,8775402,8963773,-1,RAD18,chr3
ENSG00000071051,2,105744912,105894274,1,NCK2,chr2
ENSG00000071054,2,101696850,101894690,1,MAP4K4,chr2
ENSG00000071073,2,98619106,98731132,-1,MGAT4A,chr2
ENSG00000071082,2,101002229,101024032,1,RPL31,chr2
ENSG00000071127,4,10074339,10116949,-1,WDR1,chr4
ENSG00000071205,4,147732063,148072776,1,ARHGAP10,chr4
ENSG00000071539,5,892884,919357,1,TRIP13,chr5
ENSG00000071575,2,12716910,12742734,1,TRIB2,chr2
ENSG00000071794,3,149030127,149086554,-1,HLTF,chr3
ENSG00000071909,2,170178145,170655171,1,MYO3B,chr2
ENSG00000071967,2,171522247,171558129,1,CYBRD1,chr2
ENSG00000072135,2,130356045,130375405,1,PTPN18,chr2
ENSG00000072201,4,53459301,53701405,-1,LNX1,chr4
ENSG00000072274,3,196027183,196082096,-1,TFRC,chr3
ENSG00000072364,5,132875395,132963634,-1,AFF4,chr5
ENSG00000072571,5,163460203,163491941,1,HMMR,chr5
ENSG00000072682,5,132190147,132295315,-1,P4HA2,chr5
ENSG00000072694,1,161663143,161678654,1,FCGR2B,chr1
ENSG00000072756,3,3126933,3150879,1,TRNT1,chr3
ENSG00000072786,5,172042079,172188224,-1,STK10,chr5
ENSG00000072803,5,171861549,172006873,-1,FBXW11,chr5
ENSG00000072858,3,113532555,113629575,1,SIDT1,chr3
ENSG00000073111,3,127598410,127622436,1,MCM2,chr3
ENSG00000073331,4,112285509,112442621,1,ALPK1,chr4
ENSG00000073578,5,218303,257082,1,SDHA,chr5
ENSG00000073711,3,135965728,136147894,1,PPP2R3A,chr3
ENSG00000073756,1,186671791,186680922,-1,PTGS2,chr1
ENSG00000073792,3,185643130,185825042,-1,IGF2BP2,chr3
ENSG00000073803,3,185282941,185489094,1,MAP3K13,chr3
ENSG00000073849,3,186930325,187078553,1,ST6GAL1,chr3
ENSG00000074054,2,121337776,121649476,-1,CLASP1,chr2
ENSG00000074276,5,176542511,176595974,1,CDHR2,chr5
ENSG00000074416,3,127689062,128052190,-1,MGLL,chr3
ENSG00000074582,2,218658764,218663443,1,BCS1L,chr2
ENSG00000074800,1,8861000,8879190,-1,ENO1,chr1
ENSG00000074964,1,17539698,17697874,1,ARHGEF10L,chr1
ENSG00000074966,4,48066393,48134250,-1,TXK,chr4
ENSG00000075151,1,20806292,21177285,-1,EIF4G3,chr1
ENSG00000075292,2,71276561,71435069,1,ZNF638,chr2
ENSG00000075340,2,70607618,70768225,-1,ADD2,chr2
ENSG00000075391,1,178094104,178484147,1,RASAL2,chr1
ENSG00000075420,3,172039578,172401669,1,FNDC3B,chr3
ENSG00000075426,2,28392448,28417317,1,FOSL2,chr2
ENSG00000075539,4,48497357,48780322,-1,FRYL,chr4
ENSG00000075568,2,97756333,97995948,-1,TMEM131,chr2
ENSG00000075651,3,171600404,171810950,-1,PLD1,chr3
ENSG00000075711,3,197042560,197299330,-1,DLG1,chr3
ENSG00000075785,3,128693669,128825942,1,RAB7A,chr3
ENSG00000075884,2,143091362,143768352,1,ARHGAP15,chr2
ENSG00000075914,3,44975241,45036066,1,EXOSC7,chr3
ENSG00000075945,1,169921326,170085208,-1,KIFAP3,chr1
ENSG00000075975,3,12557057,12586208,1,MKRN2,chr3
ENSG00000076003,2,135839626,135876443,-1,MCM6,chr2
ENSG00000076201,3,47381011,47413435,1,PTPN23,chr3
ENSG00000076242,3,36993350,37050846,1,MLH1,chr3
ENSG00000076258,1,171314183,171342084,1,FMO4,chr1
ENSG00000076321,1,173714941,173786692,1,KLHL20,chr1
ENSG00000076356,1,208022242,208244384,-1,PLXNA2,chr1
ENSG00000077044,2,233354494,233472104,1,DGKD,chr2
ENSG00000077097,3,25597984,25664907,-1,TOP2B,chr3
ENSG00000077152,1,202331657,202341980,-1,UBE2T,chr1
ENSG00000077157,1,202348699,202592706,1,PPP1R12B,chr1
ENSG00000077232,2,182716255,182794464,1,DNAJC10,chr2
ENSG00000077254,1,77695987,77759852,-1,USP33,chr1
ENSG00000077380,2,171687409,171750158,1,DYNC1I2,chr2
ENSG00000077549,1,19338775,19485539,-1,CAPZB,chr1
ENSG00000077585,1,236142505,236221865,1,GPR137B,chr1
ENSG00000077684,4,128809700,128875224,1,JADE1,chr4
ENSG00000078018,2,209424047,209734118,1,MAP2,chr2
ENSG00000078070,3,183015218,183116075,-1,MCCC1,chr3
ENSG00000078140,4,39698109,39782792,1,UBE2K,chr4
ENSG00000078177,4,40056850,40158252,1,N4BP2,chr4
ENSG00000078369,1,1785285,1891117,-1,GNB1,chr1
ENSG00000078618,1,51789191,51878805,-1,NRDC,chr1
ENSG00000078795,5,137887968,137942747,1,PKD2L2,chr5
ENSG00000078808,1,1216909,1232067,-1,SDF4,chr1
ENSG00000079215,5,36596588,36688334,1,SLC1A3,chr5
ENSG00000079246,2,216107464,216206303,1,XRCC5,chr2
ENSG00000079257,3,158645822,158672648,-1,LXN,chr3
ENSG00000079263,2,230203110,230313215,1,SP140,chr2
ENSG00000079277,1,46557407,46616843,-1,MKNK1,chr1
ENSG00000079308,2,217799588,218033982,-1,TNS1,chr2
ENSG00000079335,1,100345001,100520277,1,CDC14A,chr1
ENSG00000079691,6,25279078,25620530,1,CARMIL1,chr6
ENSG00000079739,1,63593411,63660245,1,PGM1,chr1
ENSG00000079785,2,15591178,15634346,1,DDX1,chr2
ENSG00000080200,3,97822011,97944984,1,CRYBG3,chr3
ENSG00000080345,2,151409883,151508013,1,RIF1,chr2
ENSG00000080493,4,71062667,71572087,1,SLC4A4,chr4
ENSG00000080819,3,98579446,98593648,-1,CPOX,chr3
ENSG00000080822,3,98497912,98523066,-1,CLDND1,chr3
ENSG00000081019,1,113761832,113812476,-1,RSBN1,chr1
ENSG00000081026,1,113390515,113685923,1,MAGI3,chr1
ENSG00000081041,4,74097040,74099196,-1,CXCL2,chr4
ENSG00000081052,2,227002714,227164453,-1,COL4A4,chr2
ENSG00000081059,5,134114681,134151865,1,TCF7,chr5
ENSG00000081148,3,101222546,101320575,-1,IMPG2,chr3
ENSG00000081154,3,101574180,101594465,1,PCNP,chr3
ENSG00000081189,5,88717117,88904257,-1,MEF2C,chr5
ENSG00000081237,1,198638457,198757476,1,PTPRC,chr1
ENSG00000081307,3,132654446,132679794,1,UBA5,chr3
ENSG00000081320,2,196133583,196176503,-1,STK17B,chr2
ENSG00000081692,1,227730425,227735411,-1,JMJD4,chr1
ENSG00000081721,1,161749758,161757238,1,DUSP12,chr1
ENSG00000081791,5,141923855,141942047,1,DELE1,chr5
ENSG00000081870,1,53916574,53945699,-1,HSPB11,chr1
ENSG00000081985,1,67307364,67398724,1,IL12RB2,chr1
ENSG00000082068,5,37379285,37753435,1,WDR70,chr5
ENSG00000082074,5,39105252,39274528,-1,FYB1,chr5
ENSG00000082146,2,201387858,201480846,1,STRADB,chr2
ENSG00000082153,2,200810594,200827338,1,BZW1,chr2
ENSG00000082196,5,34017858,34043213,-1,C1QTNF3,chr5
ENSG00000082213,5,31532287,31555053,1,C5orf22,chr5
ENSG00000082258,2,134918235,134959342,1,CCNT2,chr2
ENSG00000082438,2,164653624,164843679,-1,COBLL1,chr2
ENSG00000082512,1,211326615,211374946,1,TRAF5,chr1
ENSG00000082515,5,154941073,154969411,1,MRPL22,chr5
ENSG00000082516,5,154887411,154938211,-1,GEMIN5,chr5
ENSG00000082701,3,119821321,120094994,-1,GSK3B,chr3
ENSG00000082781,3,124761948,124901418,-1,ITGB5,chr3
ENSG00000082898,2,61476032,61538741,-1,XPO1,chr2
ENSG00000082996,3,149812770,149962139,1,RNF13,chr3
ENSG00000083312,5,72816312,72916733,1,TNPO1,chr5
ENSG00000083444,1,11934205,11975538,1,PLOD1,chr1
ENSG00000083720,5,41730065,41870425,-1,OXCT1,chr5
ENSG00000083896,4,68310387,68350090,-1,YTHDC1,chr4
ENSG00000083937,3,87227271,87255556,1,CHMP2B,chr3
ENSG00000084070,1,40344850,40423326,1,SMAP2,chr1
ENSG00000084072,1,39692182,39763914,1,PPIE,chr1
ENSG00000084073,1,40258041,40294180,1,ZMPSTE24,chr1
ENSG00000084090,2,96184859,96208827,-1,STARD7,chr2
ENSG00000084092,4,56963350,56977606,-1,NOA1,chr4
ENSG00000084093,4,56907876,56966808,1,REST,chr4
ENSG00000084623,1,32221077,32245397,1,EIF3I,chr1
ENSG00000084652,1,32179675,32198285,1,TXLNA,chr1
ENSG00000084676,2,24491254,24770702,1,NCOA1,chr2
ENSG00000084693,2,27042364,27070622,1,AGBL5,chr2
ENSG00000084731,2,25926598,25982749,-1,KIF3C,chr2
ENSG00000084733,2,26034084,26137454,1,RAB10,chr2
ENSG00000084754,2,26190635,26244672,-1,HADHA,chr2
ENSG00000084764,2,26970637,27027219,1,MAPRE3,chr2
ENSG00000084774,2,27217369,27243943,1,CAD,chr2
ENSG00000085231,5,69350984,69370013,-1,AK6,chr5
ENSG00000085274,3,169773396,169789716,1,MYNN,chr3
ENSG00000085276,3,169083499,169663775,-1,MECOM,chr3
ENSG00000085365,5,78360611,78480739,1,SCAMP1,chr5
ENSG00000085433,1,108970214,109042113,-1,WDR47,chr1
ENSG00000085449,2,223855716,223945357,-1,WDFY1,chr2
ENSG00000085491,1,108134043,108200849,-1,SLC25A24,chr1
ENSG00000085760,2,55236595,55269347,-1,MTIF2,chr2
ENSG00000085832,1,51354263,51519266,-1,EPS15,chr1
ENSG00000085840,1,52372829,52404423,-1,ORC1,chr1
ENSG00000085871,4,139665768,139740745,1,MGST2,chr4
ENSG00000085978,2,233210051,233295674,1,ATG16L1,chr2
ENSG00000085982,2,233475520,233566782,-1,USP40,chr2
ENSG00000085998,1,46188683,46220305,-1,POMGNT1,chr1
